key;sentence_ja;sentence_fr;sort
中[なか];父[ちち]は 家[いえ]の 中[なか]にいます。;Mon père est à l'intérieur de la maison.;21
先生[せんせい];私[わたし]は 日本語[にほんご]の 先生[せんせい]になりたいです。;Je veux devenir un professeur de japonais.;22
何の[どの];この5つの中で、どのドラマが一番好きですか？;Parmis ces 5, quel drama aimez-vous le plus ?;25
自分[じぶん];宿題[しゅくだい]は 自分[じぶん]でやりなさい。;Fais tes devoirs toi-même. ;26
大変[たいへん];大変[たいへん]なことが 起[お]きました。;Une chose terrible s'est produite.;28
上[うえ];上[うえ]を 見[み]て。;Regardes au-dessus.;29
事[こと];そんな 事[こと]をしてはいけません。;Ne faites pas une telle chose.;30
元気[げんき];昨日[きのう]から 元気[げんき]になりました。;Je suis devenu en meilleure santé depuis hier.;31
上げる[あげる];彼[かれ]は 荷物[にもつ]を 網棚[あみだな]に 上[あ]げた。;Il a levé les bagages sur le porte-bagages.;34
知る[しる];誰[だれ]もその 話[はなし]を 知[し]らない。;Personne ne connaît cette histoire.;36
持つ[もつ];私[わたし]は 車[くるま]を 持[も]っています。;J'ai une voiture.;38
名前[なまえ];あなたの 名前[なまえ]を 教[おし]えてください。;S'il vous plait, dites moi votre nom.;39
待つ[まつ];あなたが 来[く]るのを 待[ま]っています。;J'attends que vous veniez.;42
子供[こども];子供[こども]たちは 電車[でんしゃ]の 中[なか]で 遊[あそ]んでいた。;Les enfants jouaient dans le train.;43
今年[ことし];今年[ことし]はイタリアに 旅行[りょこう]したい。;Je veux voyager en Italie cette année.;44
明日[あした];では、また 明日[あした]。;Et bien, à demain.;46
話[はなし];あなたの 話[はなし]は 面白[おもしろ]いね。;Votre histoire est intéressante.;47
本当[ほんとう];その 話[はなし]は 本当[ほんとう]ですか。;Cette histoire est-elle vraie ?;49
誰[だれ];誰[だれ]と 会[あ]ってみたいですか。;Qui aimeriez-vous rencontrer ?;53
大学[だいがく];大学[だいがく]に 行[い]ってもっと 勉強[べんきょう]したいです。;Je veux aller à l'université et étudier plus.;55
全部[ぜんぶ];それ、全部[ぜんぶ]ください。;Je vais prendre tout ça, s'il vous plaît.;57
女の子[おんなのこ];あの 女[おんな]の 子[こ]を 知[し]っていますか。;Connaissez-vous cette fille?;59
生まれる[うまれる];フランスで 生[う]まれるのはチャンスです。;Être né en France est une chance.;60
毎日[まいにち];私[わたし]たちは 毎日[まいにち] 散歩[さんぽ]をします。;Nous allons faire une promenade tous les jours.;61
悪い[わるい];タバコは 体[からだ]に 悪[わる]い。;Les cigarettes sont mauvaises pour le corps.;63
大人[おとな];大人[おとな]の 言[い]うことを 聞[き]きなさい。;Écoute ce que disent les adultes.;64
体[からだ];私[わたし]は 体[からだ]が 丈夫[じょうぶ]だ。;Mon corps est solide. ;65
食べる[たべる];昨日[きのう]タイカレーを 食[た]べました。;J'ai mangé un curry thaï hier.;67
早い[はやい];彼[かれ]は 走[はし]るのが 速[はや]い。;Il court vite.;68
年[ねん];10年[じゅうねん]は 長[なが]い 時間[じかん]です。;10 ans, c'est une longue durée.;70
電話[でんわ];あとで 電話[でんわ]します。;Je t'appellerai plus tard.;72
多分[たぶん];彼女[かのじょ]は 多分[たぶん] 家[いえ]で 寝[ね]ています。;Elle dort peut être à la maison.;74
少し[すこし];少[すこ]し 疲[つか]れました。;Je me suis un peu fatigué.;76
所[ところ];私[わたし]は 友達[ともだち]の 所[ところ]に 泊[と]まった。;Je suis resté chez mon ami pour la nuit.;77
好き[すき];私[わたし]はワインが 好[す]きです。;J'aime le vin.;78
下[した];財布[さいふ]は 机[つくえ]の 下[した]にあった。;Le portefeuille était sous le bureau. ;80
意味[いみ];それはどういう 意味[いみ]ですか。;Qu'est-ce que ça veut dire ?;82
使う[つかう];このパソコンを 使[つか]ってください。;Veuillez utiliser cet ordinateur.;83
上手[じょうず];妹[いもうと]は 歌[うた]が 上手[じょうず]です。;Ma petite soeur est douée pour chanter.;84
椅子[いす];その 人[ひと]は 椅子[いす]に 座[すわ]った。;Cette personne s'était assise sur une chaise.;87
後ろ[うしろ];机[つくえ]の 後[うし]ろに 教師[きょうし]がいます。;Il y a un professeur derrière le bureau.;90
旅行[りょこう];彼女[かのじょ]は 旅行[りょこう]が 好[す]きです。;Elle aime les voyages.;91
高い[たかい];これがこの 町[まち]で 一番[いちばん] 高[たか]いビルです。;Ceci est le plus haut bâtiment de cette ville.;92
学生[がくせい];彼[かれ]は 真面目[まじめ]な 学生[がくせい]です。;C'est un étudiant sérieux.;93
長い[ながい];彼女[かのじょ]の 髪[かみ]はとても 長[なが]い。;Ses cheveux sont très longs.;94
強い[つよい];今日[きょう]は 風[かぜ]が 強[つよ]い。;Il y a un vent fort aujourd'hui.;95
立つ[たつ];彼[かれ]はステージに 立[た]った。;Il se tenait sur scène.;96
家[いえ];ここが 私[わたし]の 家[いえ]です。;Ici, c'est ma maison.;98
少ない[すくない];今年[ことし]は 雨[あめ]が 少[すく]ないです。;Cette année, il n'y a pas beaucoup de pluie.;99
来年[らいねん];来年[らいねん] 一緒[いっしょ]に 旅行[りょこう]しましょう。;Voyageons ensemble l'année prochaine.;100
果物[くだもの];デザートに 果物[くだもの]を 食[た]べましょう。;Prenons des fruits pour le dessert.;304
食堂[しょくどう];大学[だいがく]の 食堂[しょくどう]は 安[やす]い。;Le réfectoire de l'université est bon marché.;305
歌う[うたう];私[わたし]たちは 大[おお]きな 声[こえ]で 歌[うた]いました。;Nous avons chanté d'une voix forte.;306
紙[かみ];たくさん 紙[かみ]を 買[か]いました．;J'ai acheté beaucoup de papier.;307
弟[おとうと];弟[おとうと]は 野球[やきゅう]が 好[す]きです。;Mon petit frère aime le baseball.;309
川[かわ];この 川[かわ]は あの 川[かわ]の ３倍[さんばい] 長[なが]いです。;Cette rivière-ci est trois fois plus longue que celle-là.;310
始め[はじめ];始めにスープが出ます。;Une soupe sera servie au début.;311
妹[いもうと];妹[いもうと]は 他[ほか]の 女[おんな]の 子[こ]とボールをしています。;Ma petite soeur joue au ballon avec les autres filles.;312
細い[ほそい];彼女[かのじょ]は 指[ゆび]が 細[ほそ]いですね。;Ses doigts sont fins.;313
本当は[ほんとうは];彼が本当は何が欲しいのかわからない。;Je ne sais vraiment pas ce qu'il veut vraiment.;315
英語[えいご];あなたは 英語[えいご]が 話[はな]せますか。;Pouvez-vous parler anglais ?;316
上着[うわぎ];暑[あつ]いので 上着[うわぎ]を 脱[ぬ]ぎました。;J'ai enlevé mes vêtements d'extérieur parce qu'il faisait chaud.;317
今晩[こんばん];今晩[こんばん]のパーティーは 何[なん] 時[じ]からですか。;La fête de ce soir est à partir de quelle heure ?;318
洗う[あらう];早[はや]く 顔[かお]を 洗[あら]いなさい。;Dépêche-toi de te laver le visage.;320
千[せん];六 千[せん]分は、百時間です。;6000 minutes équivalent à 100 heures.;321
雨[あめ];雨[あめ]が 降[ふ]っています。;Il pleut.;322
並ぶ[ならぶ];ここに 並[なら]んでください。;S'il vous plaît alignez vous ici.;323
暗い[くらい];東[ひがし]の 空[そら]が 暗[くら]いです。;Le ciel à l'est est sombre.;324
お金[おかね];お 金[かね]を 先[さき]に 入[い]れるのですか。;Dois-je mettre l'argent d'abord ?;325
お父さん[おとうさん];お 父[とう]さんは 会社[かいしゃ] 員[いん]です。;Son père est un employé d'entreprise.;326
耳[みみ];彼女[かのじょ]は 耳[みみ]がよく 聞[き]こえません。;Elle a des oreilles qui ne peuvent pas très bien entendre.;327
太い[ふとい];彼女[かのじょ]は 足[あし]が 太[ふと]い。;Elle a de grosses jambes.;329
青い[あおい];ここの 海[うみ]はとても 青[あお]い。;La mer ici est très bleue.;330
短い[みじかい];彼[かれ]は 足[あし]が 短[みじか]い。;Ses jambes sont courtes.;332
魚[さかな];魚[さかな]がたくさん 泳[およ]いでいます。;Il y a beaucoup de poissons qui nagent.;333
百[ひゃく];スーパーマーケットはここから700メートルです。;Le supermarché est à 700 m d'ici.;335
猫[ねこ];私[わたし]は 猫[ねこ]が 大好[だいす]きです。;J'adore les chats.;336
お母さん[おかあさん];お 母[かあ]さんによろしくお 伝[つた]えください。;Veuillez passer le bonjour à votre mère.;337
授業[じゅぎょう];今日[きょう]は 日本語[にほんご]の 授業[じゅぎょう]があります。;Aujourd'hui, il y a un cour de Japonais.;339
鳥[とり];あそこにきれいな 鳥[とり]がいます。;Il y a un bel oiseau là-bas.;340
一昨日[おととい];一昨日[おととい] 彼[かれ]から 電話[でんわ]がありました。;Avant-hier, il y a eu un appel téléphonique de lui.;341
雪[ゆき];クリスマスに 雪[ゆき]が 降[ふ]りました。;Il a neigé à Noël.;342
皆さん[みなさん];皆[みな]さんにお 話[はなし]があります。;J'ai quelque chose à dire à tout le monde.;343
はい;はい、そうです。;Oui, c'est vrai.;344
さん;山田[やまだ]さんです。;C'est Monsieur Yamada.;345
階段[かいだん];私[わたし]たちは 駅[えき]の 階段[かいだん]を 登[のぼ]りました。;Nous avons monté les escaliers de la gare.;346
六[ろく];かれ に は こども が ろくにん います;Il a six enfants.;347
から;ここからタワーが見えるよ。;On peut voir la tour d'ici.;348
習う[ならう];私[わたし]はダンスを 習[なら]っています。;J'apprends à danser.;349
村[むら];私[わたし]は 隣[となり]の 村[むら]から 来[き]ました。;Je viens du village voisin.;350
お菓子[おかし];お 母[かあ]さんと 一緒[いっしょ]にお 菓子[かし]を 作[つく]りました。;Avec ma mère, ensemble, nous avons fait des confiserie.;351
東[ひがし];日[ひ]は 東[ひがし]から 上[のぼ]ります。;Le soleil monte à l'Est.;352
七[しち];その ぐるーぷ の めんばー は ぜんぶ で  七[しち]にん だ;Il y a sept membres du groupe en tout.;354
ええ;ええ、私も知りたいです。;Oui, j'aimerais bien le savoir aussi.;355
汚い[きたない];彼[かれ]の 部屋[へや]はとても 汚[きたな]い。;Sa chambre est très sale.;356
差す[さす];たくさんの 人[ひと]が 傘[かさ]を 差[さ]しています。;Il y a beaucoup de gens tenant des parapluies.;357
自転車[じてんしゃ];毎日[まいにち]、 駅[えき]まで 自転車[じてんしゃ]で 行[い]きます。;Je vais jusqu'à la gare à vélo tous les jours.;358
駅[えき];駅[えき]はどこですか。;Où est la gare ?;359
雑誌[ざっし];この 雑誌[ざっし]はよく 売[う]れています。;Ce magazine se vend bien.;360
どうぞ;こちらへどうぞ。;Par ici, je vous prie.;361
日曜日[にちようび];日曜日[にちようび]は 海[うみ]に 行[い]きました。;Nous sommes allés à la plage dimanche.;367
薄い[うすい];この 電子[でんし] 辞書[じしょ]はとても 薄[うす]い。;Ce dictionnaire électronique est très mince.;368
並べる[ならべる];私[わたし]は 料理[りょうり]をテーブルに 並[なら]べた。;J'ai disposé la nourriture sur la table.;369
靴下[くつした];この 靴下[くつした]は３ 足[そく]で１０００ 円[えん]です。;Ces chaussettes coûtent 1 000 yens pour 3 paires.;370
へえ;へえ、それは知りませんでした。;Ah bon, je ne savais pas ça.;371
こんな;こんな靴がほしかった。;Je voulais des chaussures comme celles-ci.;372
どんな;どんな 果物[くだもの]が 好[す]きですか。;Quel genre de fruit aimez-vous ?;373
箱[はこ];この 箱[はこ]は 重[おも]い。;Cette boîte est lourde.;374
卵[たまご];ニワトリは 卵[たまご]を 産[う]みます。;Les poules pondent des œufs.;375
台所[だいどころ];お 母[かあ]さんは 台所[だいどころ]にいます。;Mère est dans la cuisine.;376
誕生日[たんじょうび];彼女[かのじょ]の 誕生[たんじょう] 日[び]は７ 月[がつ]１６ 日[にち]です。;Son anniversaire à elle est le 16 juillet.;378
靴[くつ];靴[くつ]が 汚[きた]いです。;Mes chaussures sont sales.;379
秋[あき];彼女[かのじょ]は 秋[あき]に 結婚[けっこん]します。;Elle se mariera cet automne.;380
もっと;もっと 近[ちか]くに 来[き]てください。;S'il vous plaît, venez plus près.;382
鼻[はな];豚の鼻はおもしろいですね。;Le nez des cochons est drôle.;383
冬[ふゆ];カナダの 冬[ふゆ]はとても 寒[さむ]いです。;Les hivers canadiens sont très froids.;384
鍵[かぎ];出[で]かけるときは 鍵[かぎ]を 掛[か]けてください。;Veuillez fermer la porte à clé quand vous partez.;385
机[つくえ];王さんの机はどれですか。;Lequel est le bureau de M. Ou ?;387
テレビ;私[わたし]はテレビをあまり 見[み]ません。;Je ne regarde pas beaucoup de télé.;388
窓[まど];窓[まど]を 開[あ]けてください。;S'il-vous-plaît, ouvrez la fenêtre.;389
北[きた];ロシアは 日本[にっぽん]の 北[きた]にあります。;La Russie est au nord du Japon.;391
庭[にわ];庭[にわ]に 白[しろ]い 猫[ねこ]がいます。;Il y a un chat blanc dans le jardin.;392
南[みなみ];私[わたし]の 家[いえ]は 町[まち]の 南[みなみ]にあります。;Ma maison est au sud de la ville.;393
黄色[きいろ];信号[しんごう]は 黄色[きいろ]でした。;Le feu de signalisation était orange. (jaune au Japon);394
橋[はし];あの 橋[はし]は 日本[にほん]で 一番[いちばん] 長[なが]い。;Ce pont est le plus long du Japon.;395
廊下[ろうか];廊下[ろうか]は 走[はし]らないでください。;Veuillez ne pas courir dans le couloir.;396
ゆっくり;もっとゆっくり 話[はな]してください。;Parlez plus lentement, s'il vous plaît.;397
