人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい]飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん]好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん]海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと]映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
