人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
外[そと];外[そと]は 暑[あつ]いよ。;101
会社[かいしゃ];彼[かれ]は 小[ちい]さな 会社[かいしゃ]に 勤[つと]めています。;102
料理[りょうり];母[はは]は 料理[りょうり]が 上手[じょうず]です。;103
手紙[てがみ];友達[ともだち]から 手紙[てがみ]をもらいました。;104
楽しい[たのしい];彼[かれ]はとても 楽[たの]しい 人[ひと]です。;105
初めて[はじめて];東京[とうきょう]に 来[く]るのは 初[はじ]めてです。;106
彼[あれ];あれは 何[なん]ですか。;107
顔[かお];彼[かれ]はタオルで 顔[かお]を 拭[ふ]きました。;108
終わる[おわる];会議[かいぎ]は4時[よじ]に 終[お]わります。;109
来週[らいしゅう];来週[らいしゅう]は 忙[いそが]しいです。;110
彼[かれ];彼[かれ]は 指[ゆび]が 太[ふと]い。;111
天気[てんき];今日[きょう]はいい 天気[てんき]ですね。;112
男の子[おとこのこ];男[おとこ]の 子[こ]たちがサッカーをしている。;113
小さい[ちいさい];小[ちい]さい 花[はな]が 咲[さ]いています。;114
下手[へた];私[わたし]は 歌[うた]が 下手[へた]だ。;115
近い[ちかい];駅[えき]はここから 近[ちか]いです。;116
時々[ときどき];私[わたし]は 時々[ときどき]ピアノを 弾[ひ]く。;117
近く[ちかく];駅[えき]の 近[ちか]くで 食事[しょくじ]をした。;118
教える[おしえる];彼[かれ]は 数学[すうがく]を 教[おし]えています。;119
電気[でんき];電気[でんき]をつけてもらえる？;120
着る[きる];今日[きょう]はスーツを 着[き]ています。;121
向こう[むこう];友達[ともだち]は 向[む]こうにいます。;122
覚える[おぼえる];妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]覚[おぼ]えました。;123
死ぬ[しぬ];犬[いぬ]が 病気[びょうき]で 死[し]にました。;124
新しい[あたらしい];彼[かれ]の 車[くるま]は 新[あたら]しい。;125
生徒[せいと];このクラスの 生徒[せいと]は30人[さんじゅうにん]です。;126
家族[かぞく];うちは 五人[ごにん]家族[かぞく]です。;127
呼ぶ[よぶ];ウェイターを 呼[よ]びましょう。;128
男[おとこ];男[おとこ]の 人[ひと]が 私[わたし]たちに 話[はな]し 掛[か]けた。;129
動物[どうぶつ];私[わたし]は 動物[どうぶつ]が 大好[だいす]きです。;130
去年[きょねん];私[わたし]は 去年[きょねん]フランスへ 行[い]った。;131
頼む[たのむ];私[わたし]はハンバーガーを 頼[たの]みました。;132
引く[ひく];このドアは 引[ひ]いてください。;133
今週[こんしゅう];今週[こんしゅう]は 日本語[にほんご]のテストがあります。;134
多い[おおい];京都[きょうと]にはお 寺[てら]が 多[おお]い。;135
足[あし];彼[かれ]は 足[あし]が 長[なが]い。;136
開ける[あける];後[あと]で 窓[まど]を 開[あ]けてください。;137
書く[かく];彼[かれ]に 手紙[てがみ]を 書[か]きました。;138
声[こえ];彼[かれ]は 大[おお]きな 声[こえ]で 話[はな]した。;139
医者[いしゃ];私[わたし]は 医者[いしゃ]です。;140
早く[はやく];できるだけ 早[はや]く 来[き]てください。;141
始まる[はじまる];新[あたら]しい 仕事[しごと]が 始[はじ]まりました。;142
起きる[おきる];私[わたし]は 毎朝[まいあさ]6時[ろくじ]に 起[お]きます。;143
今月[こんげつ];今月[こんげつ]はとても 忙[いそが]しい。;144
結構[けっこう];3時[さんじ]で 結構[けっこう]です。;145
女[おんな];店員[てんいん]は 若[わか]い 女[おんな]の 人[ひと]でした。;146
問題[もんだい];問題[もんだい]が 一[ひと]つあります。;147
今朝[けさ];今朝[けさ]テレビでそのニュースを 知[し]りました。;148
次[つぎ];次[つぎ]はいつ 会[あ]いましょうか。;149
口[くち];口[くち]を 大[おお]きく 開[あ]けてください。;150
```csv
Column1;phrase_réécrite;key
友達[ともだち];私[わたし]には 友達[ともだち]がたくさんいます。;151
頭[あたま];今朝[けさ]から 頭[あたま]が 痛[いた]い。;152
返す[かえす];図書館[としょかん]に 本[ほん]を 返[かえ]した。;153
着く[つく];僕[ぼく]たちは1時間[いちじかん]以内[いない]に 着[つ]くよ。;154
乗る[のる];駅[えき]からはタクシーに 乗[の]ってください。;155
食べ物[たべもの];日本[にほん]の 食[た]べ 物[もの]はとても 美味[おい]しいです。;156
置く[おく];彼[かれ]はかばんをいすの 上[うえ]に 置[お]きました。;157
学校[がっこう];学校[がっこう]は8時半[はちじはん]に 始[はじ]まります。;158
忘れる[わすれる];約束[やくそく]を 忘[わす]れないでください。;159
安い[やすい];この 服[ふく]はとても 安[やす]かった。;160
頑張る[がんばる];明日[あした]の 試験[しけん] 頑張[がんば]ってね。;161
荷物[にもつ];彼[かれ]は 大[おお]きな 荷物[にもつ]を 持[も]ってきた。;162
午後[ごご];その 急行[きゅうこう]は 午後[ごご]6時20分[ろくじにじゅっぷん]に 出発[しゅっぱつ]します。;163
面白い[おもしろい];この 本[ほん]はすごく 面白[おもしろ]かった。;164
午前[ごぜん];午前[ごぜん]9時[くじ]のニュースです。;165
父[ちち];私[わたし]は 父[ちち]が 大好[だいす]きです。;166
皆[みんな];皆[みんな]にお 菓子[かし]をあげましょう。;167
大勢[おおぜい];大勢[おおぜい]で 食事[しょくじ]に 出[で]かけました。;168
写真[しゃしん];写真[しゃしん]は 良[よ]い 思[おも]い 出[で]になります。;169
買う[かう];郵便局[ゆうびんきょく]で 切手[きって]を 買[か]いました。;170
三[さん];彼女[かのじょ]は 三人[さんにん]の 子供[こども]の 母親[ははおや]だ。;171
母[はは];昨日[きのう]、 母[はは]と 話[はなし]をしました。;172
水[みず];水[みず]を 一杯[いっぱい]ください。;173
止まる[とまる];今朝[けさ] 事故[じこ]で 電車[でんしゃ]が 止[と]まりました。;175
風[かぜ];そこも 風[かぜ]が 強[つよ]い。;176
新聞[しんぶん];今日[きょう]の 新聞[しんぶん]、どこに 置[お]いた？;177
